"","player_name","nameFirst","nameLast","season","pass_defended","total_intercept","total_fumble_forced","total_assist_tackle","total_sack","total_solo_tackle","position","posteam","posteam_type","defteam","total_pos_time_in_minutes_per_game"
"34301","J.Hicks","Jordan","Hicks",2017,NA,NA,NA,1,0,1,"DE","KC","home","PHI",31.1627853881279
"34350","J.Houston","Justin","Houston",2018,2,2,NA,NA,0,2,"LB","ARI","away","KC",33.2672222222222
"34364","J.Houston","Justin","Houston",2017,NA,NA,NA,1,2,3,"LB","NE","home","KC",28.5137755102041
"34399","J.Hughes","Jerry","Hughes",2017,NA,NA,NA,1,0,1,"DE","DEN","away","BUF",28.191935483871
"34400","J.Hughes","John","Hughes",2017,NA,NA,NA,1,0,1,"DT","DEN","away","BUF",28.191935483871
"34416","J.Hughes","Jay","Hughes",2018,NA,NA,NA,NA,0,1,"DB","JAX","away","BUF",32.2636200716846
"34441","J.Hughes","Jerry","Hughes",2017,NA,NA,NA,NA,NA,1,"DE","NE","away","BUF",32.5886363636364
"34442","J.Hughes","John","Hughes",2017,NA,NA,NA,NA,NA,1,"DT","NE","away","BUF",32.5886363636364
"34458","J.Hughes","Jay","Hughes",2017,NA,NA,NA,NA,0,2,"DB","NYJ","home","BUF",30.7634874759152
"34476","J.Hunter","Jeremiha","Hunter",NA,NA,NA,NA,NA,NA,NA,"LB",NA,NA,NA,NA
"34480","J.Ingram","Jake","Ingram",NA,NA,NA,NA,NA,NA,NA,"LS",NA,NA,NA,NA
"34511","J.Jackson","Jonathan","Jackson",2018,2,NA,NA,1,NA,2,"DE","ATL","away","GB",32.1471264367816
"34616","J.Jackson","Justin","Jackson",2018,1,1,NA,NA,NA,1,"LB","CHI","home","NE",29.9535256410256
"34651","J.Jackson","Jonathan","Jackson",2018,1,NA,NA,NA,NA,2,"DE","DET","home","GB",32.5916666666667
"34756","J.Jackson","Justin","Jackson",2018,NA,NA,NA,NA,NA,4,"LB","MIN","away","GB",36.5069444444444
"34791","J.Jackson","Jonathan","Jackson",2018,NA,NA,NA,2,NA,5,"DE","MIN","home","GB",30.5725177304965
"34896","J.Jackson","Justin","Jackson",2018,NA,NA,NA,NA,NA,2,"LB","SF","away","GB",29.7818181818182
"34931","J.Jackson","Jonathan","Jackson",2018,NA,NA,NA,1,NA,1,"DE","WAS","home","GB",30.2189583333333
"34962","J.Jarrett","Jaiquawn","Jarrett",NA,NA,NA,NA,NA,NA,NA,"DB",NA,NA,NA,NA
"34974","J.Jenkins","John","Jenkins",2017,NA,NA,NA,NA,NA,3,"DT","ARI","away","HOU",31.9391774891775
"35008","J.Jenkins","Jelani","Jenkins",2018,1,NA,1,NA,NA,5,"LB","ATL","home","NYG",33.4015325670498
"35015","J.Jenkins","Jarvis","Jenkins",2017,NA,NA,NA,NA,NA,1,"DE","BAL","home","HOU",32.0717391304348
"35064","J.Jenkins","Jordan","Jenkins",2018,NA,NA,NA,NA,NA,2,"LB","BUF","home","NYJ",29.0268041237113
"35113","J.Jenkins","Julian","Jenkins",2017,NA,NA,NA,1,NA,1,"DE","CIN","home","CHI",29.8565727699531
"35116","J.Jenkins","Janoris","Jenkins",2017,NA,NA,NA,1,NA,1,"DB","CIN","home","CHI",29.8565727699531
"35128","J.Jenkins","John","Jenkins",2017,NA,NA,NA,NA,NA,1,"DT","CLE","away","CHI",29.7227477477477
"35162","J.Jenkins","Jelani","Jenkins",2017,NA,NA,NA,NA,NA,1,"LB","DAL","home","NYG",28.0102564102564
"35169","J.Jenkins","Jarvis","Jenkins",2018,NA,NA,NA,1,NA,5,"DE","DAL","home","NYG",29.2694444444444
"35218","J.Jenkins","Jordan","Jenkins",2017,NA,NA,NA,NA,NA,4,"LB","DEN","home","NYJ",28.2839015151515
"35267","J.Jenkins","Julian","Jenkins",2017,NA,NA,NA,NA,NA,1,"DE","IND","away","HOU",30.5152941176471
"35270","J.Jenkins","Janoris","Jenkins",2017,NA,NA,NA,NA,NA,1,"DB","IND","away","HOU",30.5152941176471
"35282","J.Jenkins","John","Jenkins",2018,NA,NA,NA,NA,NA,1,"DT","IND","away","NYJ",31.4650183150183
"35316","J.Jenkins","Jelani","Jenkins",2018,NA,NA,NA,1,0,2,"LB","JAX","home","NYJ",33.0901360544218
